"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"1860","0","0","0","","","","","","","0","0","0","","",""
"1863","0","0","0","","","","","","","","","","","",""
"1866","3","3","3","","","","","","","","","","","",""
"1873","","","","","","","0","0","0","","","","","",""
"1874","2","2","2","","","","","","","","","","","",""
"1876","","","","","","","2","2","2","","","","","",""
"1886","","","","0","0","0","","","","","","","","",""
"1899","","","","0","0","0","","","","","","","","",""
"1905","","","","0","0","0","2","2","2","","","","","",""
"1907","","","","","","","","","","","","","0","0","0"
"1912","7","7","7","","","","","","","","","","","",""
"1916","4","4","4","0","0","0","","","","","","","","",""
"1919","","","","","","","","","","","","","0","0","0"
"1920","","","","0","0","0","","","","","","","","",""
"1930","","","","","","","","","","0","0","0","","",""
"1937","8","8","8","","","","","","","","","","","",""
"1948","","","","0","0","0","","","","","","","","",""
"1952","","","","","","","","","","0","0","0","","",""
"1953","0","0","0","","","","","","","","","","","",""
"1954","","","","","","","4","4","4","","","","","",""
"1955","","","","","","","5","5","5","","","","","",""
"1961","","","","","","","","","","","","","0","0","0"
"1963","","","","","","","7","7","7","","","","","",""
"1965","","","","0","0","0","","","","","","","","",""
"1972","","","","","","","","","","0","0","0","","",""
"1976","","","","","","","","","","0","0","0","","",""
"1977","0","0","0","0","0","0","","","","","","","","",""
"1979","","","","","","","","","","0","0","0","","",""
"1983","","","","","","","","","","","","","0","0","0"
"1985","","","","","","","3","3","3","","","","","",""
"1988","","","","","","","","","","0","0","0","","",""
"1996","","","","","","","3","3","3","","","","0","0","0"
"2009","","","","0","0","0","","","","","","","","",""
"2012","","","","0","0","0","","","","","","","","",""
"2017","","","","","","","","","","","","","0","0","0"
"2022","","","","","","","","","","0","0","0","","",""
"2025","","","","","","","","","","0","0","0","","",""
"2026","","","","","","","0","0","0","","","","","",""
"2028","0","0","0","","","","","","","","","","","",""
"2032","","","","","","","","","","0","0","0","","",""
