"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"47340","9","9","9","9","9","9","","",""
"47350","","","","","","","10","10","10"
"47390","10","10","10","6","6","6","","",""
"47750","","","","","","","7","7","7"
"47780","","","","","","","6","6","6"
"47890","","","","","","","6","6","6"
"47920","","","","","","","12","12","12"
"47970","11","11","11","8","8","8","11","11","11"
"47980","8","8","8","9","9","9","","",""
"48060","","","","","","","11","11","11"
"48170","","","","","","","12","12","12"
"48530","","","","","","","5","5","5"
"48680","9","9","9","9","9","9","","",""
"48700","9","9","9","14","14","14","","",""
"48760","8","8","8","8","8","8","","",""
"48890","","","","","","","9","9","9"
"48960","","","","13","13","13","","",""
"49010","","","","","","","8","8","8"
"49030","10","10","10","12","12","12","","",""
"49270","","","","","","","12","12","12"
"49360","","","","","","","8","8","8"
"49450","9","9","9","13","13","13","","",""
"49510","","","","","","","10","10","10"
"49560","9","9","9","10","10","10","","",""
"49600","9","9","9","7","7","7","","",""
"50000","8","8","8","11","11","11","","",""
"50010","11","11","11","8","8","8","","",""
"50050","5","5","5","12","12","12","","",""
"50090","","","","","","","10","10","10"
"50120","","","","","","","5","5","5"
"50200","","","","","","","11","11","11"
"50210","8","8","8","11","11","11","8","8","8"
"50290","","","","","","","10","10","10"
"50370","","","","","","","9","9","9"
"50400","11","11","11","11","11","11","","",""
"50500","","","","","","","13","13","13"
"50540","8","8","8","12","12","12","","",""
"50590","","","","","","","11","11","11"
"50670","","","","","","","13","13","13"
"50850","","","","","","","11","11","11"
"50890","7","7","7","12","12","12","","",""
"50930","10","10","10","11","11","11","","",""
"51020","","","","","","","10","10","10"
"51030","14","14","14","11","11","11","","",""
